author_type,url,location,deal_type,accommodation_type,price,year_of_construction,house_material_type,living_meters,floors_count,underground,creation_date,price_per_m2,underground_list,month,year_month,year,day_of_week
realtor_based,https://www.cian.ru/rent/flat/306640116/,Москва,rent_long,flat,250000.0,2018.0,monolith,30.0,42,"Шелепиха, Шелепиха, Москва-Сити",2024-08-29,8333.333333333334,"['Шелепиха', 'Шелепиха', 'Москва-Сити']",8,2024-08,2024,3
realtor_based,https://www.cian.ru/rent/flat/319750733/,Москва,rent_long,flat,249999.0,,unknown,55.0,9,"Авиамоторная, Авиамоторная, Авиамоторная, Сортировочная",2025-07-15,4545.436363636363,"['Авиамоторная', 'Авиамоторная', 'Авиамоторная', 'Сортировочная']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319058637/,Москва,rent_long,flat,249990.0,,stalin,65.0,9,"Киевская, Москва-Сити, Студенческая, Деловой центр, Кутузовская, Деловой центр",2025-06-24,3846.0,"['Киевская', 'Москва-Сити', 'Студенческая', 'Деловой центр', 'Кутузовская', 'Деловой центр']",6,2025-06,2025,1
realtor_based,https://www.cian.ru/rent/flat/317621612/,Москва,rent_long,flat,250000.0,,unknown,30.0,75,"Деловой центр, Москва-Сити, Деловой центр, Деловой центр, Москва-Сити, Москва-Сити",2025-05-16,8333.333333333334,"['Деловой центр', 'Москва-Сити', 'Деловой центр', 'Деловой центр', 'Москва-Сити', 'Москва-Сити']",5,2025-05,2025,4
realtor_based,https://www.cian.ru/rent/flat/317548475/,Москва,rent_long,flat,250000.0,2020.0,monolith,30.0,25,"Динамо, Петровский Парк, Савёловская, Савёловская, Савёловская",2025-05-15,8333.333333333334,"['Динамо', 'Петровский Парк', 'Савёловская', 'Савёловская', 'Савёловская']",5,2025-05,2025,3
realtor_based,https://www.cian.ru/rent/flat/294711666/,Москва,rent_long,flat,250000.0,2022.0,monolithBrick,20.0,2,"Тульская, Крестьянская застава, Пролетарская",2023-11-05,12500.0,"['Тульская', 'Крестьянская застава', 'Пролетарская']",11,2023-11,2023,6
realtor_based,https://www.cian.ru/rent/flat/318391239/,Москва,rent_long,flat,250000.0,,unknown,27.0,28,"Молодёжная, Крылатское, Рабочий посёлок",2025-06-04,9259.25925925926,"['Молодёжная', 'Крылатское', 'Рабочий посёлок']",6,2025-06,2025,2
realtor_based,https://www.cian.ru/rent/flat/318458215/,Москва,rent_long,flat,250000.0,1987.0,brick,70.0,14,"Новослободская, Менделеевская, Белорусская, Достоевская, Маяковская, Белорусская",2025-06-06,3571.4285714285716,"['Новослободская', 'Менделеевская', 'Белорусская', 'Достоевская', 'Маяковская', 'Белорусская']",6,2025-06,2025,4
realtor_based,https://www.cian.ru/rent/flat/319453697/,Москва,rent_long,flat,260000.0,2017.0,monolith,30.0,6,"Третьяковская, Новокузнецкая, Китай-город, Площадь Революции, Охотный ряд, Театральная, Полянка",2025-07-05,8666.666666666666,"['Третьяковская', 'Новокузнецкая', 'Китай-город', 'Площадь Революции', 'Охотный ряд', 'Театральная', 'Полянка']",7,2025-07,2025,5
realtor_based,https://www.cian.ru/rent/flat/319039041/,Москва,rent_long,flat,260000.0,2021.0,monolithBrick,30.0,14,"Добрынинская, Павелецкая, Серпуховская, Октябрьская, Полянка, Третьяковская",2025-06-24,8666.666666666666,"['Добрынинская', 'Павелецкая', 'Серпуховская', 'Октябрьская', 'Полянка', 'Третьяковская']",6,2025-06,2025,1
